20180929,1153,02,03,13,25,29,32,,2. Devir,144,7.736,138.411,2.460.062,48 TL,4.822,60 TL,67,45 TL,10,65 TL
20180926,1152,02,15,18,37,47,48,,1. Devir,47,2.825,56.165,811.148,91 TL,7.267,30 TL,91,10 TL,12,90 TL
20180922,1151,01,04,12,27,46,49,AFYONKARAHİSAR / DİNAR,1,124,6.444,123.589,2.518.355,95 TL,5.696,45 TL,82,90 TL,12,10 TL
20180919,1150,10,32,33,37,43,48,,1. Devir,52,3.093,60.297,841.447,59 TL,6.814,15 TL,86,60 TL,12,45 TL
20180915,1149,04,20,25,30,43,44,BİLECİK / BOZÜYÜK - EDİRNE / KEŞAN,2,148,8.443,154.902,3.677.658,85 TL,5.541,20 TL,72,85 TL,11,25 TL
20180912,1148,03,26,31,34,44,48,,4. Devir,90,4.417,85.956,5.407.619,18 TL,5.262,55 TL,80,45 TL,11,70 TL
20180908,1147,16,19,23,30,31,44,,3. Devir,136,7.755,144.251,4.283.143,28 TL,5.482,20 TL,72,55 TL,10,95 TL
20180905,1146,06,07,09,14,26,35,,2. Devir,84,4.595,85.570,2.513.223,43 TL,4.821,10 TL,66,15 TL,10,05 TL
20180901,1145,03,09,21,25,30,38,,1. Devir,161,7.753,138.834,1.551.626,68 TL,4.059,70 TL,64,05 TL,9,95 TL
20180829,1144,01,02,13,28,39,46,ANKARA / ÇANKAYA,1,60,3.313,64.697,868.333,40 TL,6.095,70 TL,82,90 TL,12,00 TL
20180825,1143,04,25,37,38,42,43,ANTALYA / ALANYA - İZMİR / TİRE,2,76,5.279,105.150,1.061.915,70 TL,8.112,85 TL,87,65 TL,12,45 TL
20180822,1142,04,08,30,36,44,49,,1. Devir,49,2.669,49.507,659.970,98 TL,5.673,60 TL,78,55 TL,11,90 TL
20180818,1141,04,12,19,30,33,47,ERZURUM / PALANDÖKEN,1,145,7.837,141.865,2.665.319,55 TL,5.171,40 TL,72,30 TL,11,20 TL
20180815,1140,03,10,15,18,25,43,,1. Devir,82,3.799,72.294,884.609,94 TL,4.544,55 TL,74,40 TL,10,90 TL
20180811,1139,09,15,16,21,32,33,İSTANBUL / BAHÇELİEVLER - İZMİR / BORNOVA,2,272,13.810,242.042,8.625.853,15 TL,4.010,05 TL,59,55 TL,9,55 TL
20180808,1138,06,12,18,42,43,46,,9. Devir,126,6.515,124.121,14.662.408,98 TL,5.462,70 TL,79,75 TL,11,75 TL
20180804,1137,13,21,24,30,45,46,,8. Devir,151,9.674,184.798,13.028.228,50 TL,6.372,35 TL,74,85 TL,11,05 TL
20180801,1136,04,06,14,20,38,47,,7. Devir,111,6.266,110.382,10.743.113,17 TL,5.189,65 TL,69,55 TL,11,05 TL
20180728,1135,07,09,10,11,38,46,,6. Devir,155,8.740,164.917,9.375.372,66 TL,5.606,80 TL,75,40 TL,11,15 TL
20180725,1134,01,09,16,19,26,46,,5. Devir,78,4.737,87.050,7.311.802,61 TL,5.985,60 TL,74,75 TL,11,35 TL
20180721,1133,04,15,20,24,27,46,,4. Devir,129,7.328,142.040,6.203.069,00 TL,6.004,25 TL,79,90 TL,11,55 TL
20180718,1132,01,25,26,35,38,48,,3. Devir,42,2.944,56.740,4.363.974,45 TL,7.852,10 TL,84,95 TL,12,30 TL
20180714,1131,01,05,13,20,25,39,,2. Devir,196,9.019,158.556,3.580.816,53 TL,4.025,05 TL,66,00 TL,10,55 TL
20180707,1130,03,08,13,20,30,46,,1. Devir,139,7.838,144.094,1.707.208,31 TL,5.174,00 TL,68,75 TL,10,60 TL
